Using gpu device 2: GeForce GTX TITAN X (CNMeM is disabled)
Using wide ResNet with depth 18 and width 1.
ResBlock1 output size: (None, 16, 32, 32)
Train shape: (45000, 3, 32, 32) Test shape: (5000, 3, 32, 32)
Train y shape: (45000,) Test y shape: (5000,)
155.034 -140.152 2.35251e-06
iter: 0 | TL: 3.151 | VL: 1.85 | Vacc: 0.325 | Ratio: 1.7 | Time: 652.2
iter: 1 | TL: 2.844 | VL: 1.977 | Vacc: 0.35 | Ratio: 1.44 | Time: 655.1
iter: 2 | TL: 2.594 | VL: 1.36 | Vacc: 0.524 | Ratio: 1.91 | Time: 662.3
iter: 3 | TL: 2.422 | VL: 1.184 | Vacc: 0.585 | Ratio: 2.05 | Time: 676.0
iter: 4 | TL: 2.293 | VL: 1.302 | Vacc: 0.545 | Ratio: 1.76 | Time: 679.3
iter: 5 | TL: 2.193 | VL: 1.126 | Vacc: 0.617 | Ratio: 1.95 | Time: 676.7
iter: 6 | TL: 2.116 | VL: 1.225 | Vacc: 0.597 | Ratio: 1.73 | Time: 680.1
iter: 7 | TL: 2.044 | VL: 0.964 | Vacc: 0.668 | Ratio: 2.12 | Time: 690.3
iter: 8 | TL: 1.976 | VL: 0.889 | Vacc: 0.694 | Ratio: 2.22 | Time: 690.1
iter: 9 | TL: 1.916 | VL: 0.87 | Vacc: 0.697 | Ratio: 2.2 | Time: 674.4
iter: 10 | TL: 1.855 | VL: 0.89 | Vacc: 0.696 | Ratio: 2.08 | Time: 658.4
iter: 11 | TL: 1.807 | VL: 0.867 | Vacc: 0.705 | Ratio: 2.08 | Time: 662.5
iter: 12 | TL: 1.75 | VL: 0.785 | Vacc: 0.726 | Ratio: 2.23 | Time: 653.5
iter: 13 | TL: 1.694 | VL: 0.735 | Vacc: 0.746 | Ratio: 2.3 | Time: 655.5
iter: 14 | TL: 1.643 | VL: 0.802 | Vacc: 0.731 | Ratio: 2.05 | Time: 656.4
iter: 15 | TL: 1.594 | VL: 0.684 | Vacc: 0.763 | Ratio: 2.33 | Time: 654.0
iter: 16 | TL: 1.544 | VL: 0.808 | Vacc: 0.732 | Ratio: 1.91 | Time: 654.8
iter: 17 | TL: 1.499 | VL: 0.741 | Vacc: 0.755 | Ratio: 2.02 | Time: 655.4
iter: 18 | TL: 1.46 | VL: 0.628 | Vacc: 0.788 | Ratio: 2.33 | Time: 656.3
iter: 19 | TL: 1.416 | VL: 0.594 | Vacc: 0.795 | Ratio: 2.39 | Time: 655.6
iter: 20 | TL: 1.375 | VL: 0.557 | Vacc: 0.807 | Ratio: 2.47 | Time: 656.5
iter: 21 | TL: 1.337 | VL: 0.599 | Vacc: 0.791 | Ratio: 2.23 | Time: 657.3
iter: 22 | TL: 1.302 | VL: 0.579 | Vacc: 0.803 | Ratio: 2.25 | Time: 655.7
iter: 23 | TL: 1.266 | VL: 0.491 | Vacc: 0.83 | Ratio: 2.58 | Time: 652.0
iter: 24 | TL: 1.238 | VL: 0.554 | Vacc: 0.807 | Ratio: 2.23 | Time: 652.5
iter: 25 | TL: 1.204 | VL: 0.509 | Vacc: 0.829 | Ratio: 2.36 | Time: 652.6
iter: 26 | TL: 1.176 | VL: 0.549 | Vacc: 0.82 | Ratio: 2.14 | Time: 653.5
iter: 27 | TL: 1.153 | VL: 0.492 | Vacc: 0.834 | Ratio: 2.34 | Time: 653.5
iter: 28 | TL: 1.128 | VL: 0.491 | Vacc: 0.829 | Ratio: 2.3 | Time: 658.1
iter: 29 | TL: 1.094 | VL: 0.443 | Vacc: 0.843 | Ratio: 2.47 | Time: 659.4
iter: 30 | TL: 1.07 | VL: 0.533 | Vacc: 0.825 | Ratio: 2.01 | Time: 659.3
iter: 31 | TL: 1.045 | VL: 0.485 | Vacc: 0.838 | Ratio: 2.15 | Time: 660.1
iter: 32 | TL: 1.024 | VL: 0.442 | Vacc: 0.849 | Ratio: 2.32 | Time: 636.5
iter: 33 | TL: 1.002 | VL: 0.455 | Vacc: 0.845 | Ratio: 2.2 | Time: 615.8
iter: 34 | TL: 0.981 | VL: 0.433 | Vacc: 0.852 | Ratio: 2.26 | Time: 616.6
iter: 35 | TL: 0.959 | VL: 0.454 | Vacc: 0.844 | Ratio: 2.11 | Time: 624.1
iter: 36 | TL: 0.941 | VL: 0.405 | Vacc: 0.86 | Ratio: 2.33 | Time: 631.1
iter: 37 | TL: 0.92 | VL: 0.454 | Vacc: 0.848 | Ratio: 2.03 | Time: 631.7
iter: 38 | TL: 0.906 | VL: 0.469 | Vacc: 0.845 | Ratio: 1.93 | Time: 628.3
iter: 39 | TL: 0.882 | VL: 0.419 | Vacc: 0.86 | Ratio: 2.1 | Time: 631.7
iter: 40 | TL: 0.868 | VL: 0.448 | Vacc: 0.853 | Ratio: 1.94 | Time: 630.9
iter: 41 | TL: 0.849 | VL: 0.4 | Vacc: 0.869 | Ratio: 2.12 | Time: 633.2
iter: 42 | TL: 0.835 | VL: 0.373 | Vacc: 0.876 | Ratio: 2.24 | Time: 628.9
iter: 43 | TL: 0.814 | VL: 0.403 | Vacc: 0.863 | Ratio: 2.02 | Time: 632.0
iter: 44 | TL: 0.8 | VL: 0.379 | Vacc: 0.871 | Ratio: 2.11 | Time: 639.5
iter: 45 | TL: 0.786 | VL: 0.397 | Vacc: 0.861 | Ratio: 1.98 | Time: 634.4
iter: 46 | TL: 0.769 | VL: 0.387 | Vacc: 0.87 | Ratio: 1.99 | Time: 632.7
iter: 47 | TL: 0.756 | VL: 0.371 | Vacc: 0.873 | Ratio: 2.04 | Time: 631.9
iter: 48 | TL: 0.742 | VL: 0.436 | Vacc: 0.858 | Ratio: 1.7 | Time: 632.3
iter: 49 | TL: 0.731 | VL: 0.382 | Vacc: 0.876 | Ratio: 1.92 | Time: 635.9
iter: 50 | TL: 0.719 | VL: 0.365 | Vacc: 0.876 | Ratio: 1.97 | Time: 628.2
iter: 51 | TL: 0.699 | VL: 0.331 | Vacc: 0.887 | Ratio: 2.11 | Time: 627.3
iter: 52 | TL: 0.693 | VL: 0.424 | Vacc: 0.865 | Ratio: 1.63 | Time: 629.9
iter: 53 | TL: 0.687 | VL: 0.368 | Vacc: 0.883 | Ratio: 1.87 | Time: 625.2
iter: 54 | TL: 0.672 | VL: 0.365 | Vacc: 0.877 | Ratio: 1.84 | Time: 629.8
iter: 55 | TL: 0.662 | VL: 0.324 | Vacc: 0.888 | Ratio: 2.04 | Time: 623.3
iter: 56 | TL: 0.646 | VL: 0.325 | Vacc: 0.888 | Ratio: 1.99 | Time: 624.9
iter: 57 | TL: 0.635 | VL: 0.396 | Vacc: 0.869 | Ratio: 1.61 | Time: 627.3
iter: 58 | TL: 0.626 | VL: 0.353 | Vacc: 0.883 | Ratio: 1.77 | Time: 627.3
iter: 59 | TL: 0.615 | VL: 0.352 | Vacc: 0.885 | Ratio: 1.75 | Time: 623.7
iter: 60 | TL: 0.611 | VL: 0.366 | Vacc: 0.885 | Ratio: 1.67 | Time: 624.3
iter: 61 | TL: 0.597 | VL: 0.351 | Vacc: 0.885 | Ratio: 1.7 | Time: 616.4
iter: 62 | TL: 0.596 | VL: 0.366 | Vacc: 0.883 | Ratio: 1.63 | Time: 619.0
iter: 63 | TL: 0.586 | VL: 0.365 | Vacc: 0.88 | Ratio: 1.61 | Time: 629.4
iter: 64 | TL: 0.575 | VL: 0.326 | Vacc: 0.889 | Ratio: 1.76 | Time: 621.9
iter: 65 | TL: 0.567 | VL: 0.368 | Vacc: 0.89 | Ratio: 1.54 | Time: 625.2
iter: 66 | TL: 0.565 | VL: 0.322 | Vacc: 0.89 | Ratio: 1.76 | Time: 621.8
iter: 67 | TL: 0.557 | VL: 0.348 | Vacc: 0.886 | Ratio: 1.6 | Time: 624.6
iter: 68 | TL: 0.55 | VL: 0.325 | Vacc: 0.893 | Ratio: 1.69 | Time: 625.5
iter: 69 | TL: 0.548 | VL: 0.324 | Vacc: 0.892 | Ratio: 1.69 | Time: 624.5
iter: 70 | TL: 0.531 | VL: 0.34 | Vacc: 0.889 | Ratio: 1.56 | Time: 623.4
iter: 71 | TL: 0.529 | VL: 0.332 | Vacc: 0.896 | Ratio: 1.59 | Time: 621.2
iter: 72 | TL: 0.528 | VL: 0.339 | Vacc: 0.891 | Ratio: 1.56 | Time: 624.2
iter: 73 | TL: 0.518 | VL: 0.342 | Vacc: 0.89 | Ratio: 1.52 | Time: 624.3
iter: 74 | TL: 0.509 | VL: 0.383 | Vacc: 0.882 | Ratio: 1.33 | Time: 621.1
iter: 75 | TL: 0.508 | VL: 0.347 | Vacc: 0.89 | Ratio: 1.47 | Time: 630.3
iter: 76 | TL: 0.5 | VL: 0.353 | Vacc: 0.89 | Ratio: 1.42 | Time: 626.3
iter: 77 | TL: 0.497 | VL: 0.348 | Vacc: 0.889 | Ratio: 1.43 | Time: 623.4
